"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 11:50:32 MSK 2022","Thu May 26 11:50:34 MSK 2022","2290","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[5]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:51:20 MSK 2022","Thu May 26 11:51:22 MSK 2022","1800","","UserRegistrationTest","","UserRegistrationTest","isUserRegistrationReturnsSuccessTrueAndCorrectStatusCode200Test","Тест регистрации пользователя","При попытке зарегистрировать пользователя с заполнением всех обязательных полейвозвращается код 200, значение ключа <success> - <true>"
"passed","Thu May 26 11:50:52 MSK 2022","Thu May 26 11:50:54 MSK 2022","2260","","UserDataUpdateTest","","UserDataUpdateTest","userPasswordDataUpdateWithAuthTest","Тест метода обновления password пользователя с авторизацией","При обновлении password пользователя, возвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:50:58 MSK 2022","Thu May 26 11:51:00 MSK 2022","2242","","UserLoginTest","","UserLoginTest","userLoginNegativeWrongPasswordTest","Негативный тест метода входа в систему, неправильный password","При входе в систему с использованием неправильного password и существующего email возвращается код 401 и значение ключа <success> - <false>, сообщение об ошибке <message> - <email or password are incorrect>"
"passed","Thu May 26 11:51:13 MSK 2022","Thu May 26 11:51:14 MSK 2022","1322","","UserRegistrationNegativeParameterizedTest","","UserRegistrationNegativeParameterizedTest","isRegistrationWithoutFieldFillingReturnsSuccessFalseAndExpectedStatusCodeAndExpectedErrorMessageTest[Тестовые данные: email: testEmail@mail.ru, password: testPassword, name: ]","Негативный тест регистрации пользователя","При попытке зарегистрировать пользователя без заполнения всех обязательных полейвозвращается код 403, значение ключа <success> - <false>и сообщение об ошибке <message> - <Email, password and name are required fields>"
"passed","Thu May 26 11:50:54 MSK 2022","Thu May 26 11:50:56 MSK 2022","2185","","UserLoginTest","","UserLoginTest","userLoginPositiveTest","Тест метода входа в систему","При входе в систему с использованием валидных данных возвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:51:16 MSK 2022","Thu May 26 11:51:17 MSK 2022","1423","","UserRegistrationNegativeParameterizedTest","","UserRegistrationNegativeParameterizedTest","isRegistrationWithoutFieldFillingReturnsSuccessFalseAndExpectedStatusCodeAndExpectedErrorMessageTest[Тестовые данные: email: , password: testPassword, name: testName]","Негативный тест регистрации пользователя","При попытке зарегистрировать пользователя без заполнения всех обязательных полейвозвращается код 403, значение ключа <success> - <false>и сообщение об ошибке <message> - <Email, password and name are required fields>"
"passed","Thu May 26 11:50:22 MSK 2022","Thu May 26 11:50:25 MSK 2022","2634","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[1]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:34 MSK 2022","Thu May 26 11:50:36 MSK 2022","1964","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[6]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:30 MSK 2022","Thu May 26 11:50:32 MSK 2022","1997","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[4]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:56 MSK 2022","Thu May 26 11:50:58 MSK 2022","1984","","UserLoginTest","","UserLoginTest","userLoginNegativeWrongEmailTest","Негативный тест метода входа в систему, неправильный email","При входе в систему с использованием неправильного email и существующего password возвращается код 401 и значение ключа <success> - <false>, сообщение об ошибке <message> - <email or password are incorrect>"
"passed","Thu May 26 11:50:36 MSK 2022","Thu May 26 11:50:38 MSK 2022","1991","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[7]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:25 MSK 2022","Thu May 26 11:50:27 MSK 2022","2219","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[2]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:38 MSK 2022","Thu May 26 11:50:41 MSK 2022","2926","","UserDataUpdateTest","","UserDataUpdateTest","userEmailDataUpdateWithAuthTest","Тест метода обновления email пользователя с авторизацией","При обновлении email пользователя, при условии использования нового уникального email возвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:51:17 MSK 2022","Thu May 26 11:51:20 MSK 2022","2918","","UserRegistrationTest","","UserRegistrationTest","isDoubleUserRegistrationWithSameEmailReturnsSuccessFalseAndStatusCode403Test","Негативный тест регистрации пользователя, повторное использование email","При попытке зарегистрировать пользователя с использованием занятого email и с заполнением всех обязательных полейвозвращается код 403, значение ключа <success> - <false>"
"passed","Thu May 26 11:50:41 MSK 2022","Thu May 26 11:50:43 MSK 2022","2147","","UserDataUpdateTest","","UserDataUpdateTest","userDataUpdateWithOutAuthTest","Тест метода обновления данных пользователя без авторизации","При обновлении данных пользователя, без авторизации возвращается код 401 и значение ключа <success> - <false>, сообщение об ошибке <message> - <You should be authorised>"
"passed","Thu May 26 11:51:00 MSK 2022","Thu May 26 11:51:05 MSK 2022","4698","","UserOrderListTest","","UserOrderListTest","userOrderListWithOutAuthTest","Негативный тест метода получения списка заказов пользователя без авторизаци","При неавторизированном запросе списка заказов пользователявозвращается код 401 и значение ключа <success> - <false>и сообщение об ошибке <message> - <You should be authorised>"
"passed","Thu May 26 11:50:27 MSK 2022","Thu May 26 11:50:30 MSK 2022","2536","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[3]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:50 MSK 2022","Thu May 26 11:50:52 MSK 2022","2091","","UserDataUpdateTest","","UserDataUpdateTest","userAllDataUpdateWithAuthTest","Тест метода обновления всех данных пользователя","При обновлении всех дынных пользователя, при условии использования нового уникального email возвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:50:06 MSK 2022","Thu May 26 11:50:22 MSK 2022","15537","","OrderCreationParameterizedTest","","OrderCreationParameterizedTest","orderCreationTest[0]","Тест метода создания заказа","Создание заказа авторизованным пользователем с использованием валидных хэшей ингредиента возвращает код 200Если хотя бы один хэш ингредиента невалиден- возвращается код 500При отсутствии авторизации возвращается код 403, валидность хэшей ингредиентов не проверяется"
"passed","Thu May 26 11:50:43 MSK 2022","Thu May 26 11:50:45 MSK 2022","2103","","UserDataUpdateTest","","UserDataUpdateTest","userNameDataUpdateWithAuthTest","Тест метода обновления name пользователя с авторизацией","При обновлении name пользователя, возвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:51:05 MSK 2022","Thu May 26 11:51:13 MSK 2022","7750","","UserOrderListTest","","UserOrderListTest","userOrderListWithAuthTest","Тест метода получения списка заказов пользователя с авторизацией","При авторизированном запросе списка заказов пользователявозвращается код 200 и значение ключа <success> - <true>"
"passed","Thu May 26 11:50:45 MSK 2022","Thu May 26 11:50:50 MSK 2022","4312","","UserDataUpdateTest","","UserDataUpdateTest","userEmailDataUpdateWithAuthWithExistEmailTest","Тест метода обновления email пользователя с авторизацией, новый email уже используется","При обновлении email пользователя, при использовании уже занятого email возвращается код 403 и значение ключа <success> - <false>, сообщение об ошибке <message> - <User with such email already exists>"
"passed","Thu May 26 11:51:14 MSK 2022","Thu May 26 11:51:16 MSK 2022","1382","","UserRegistrationNegativeParameterizedTest","","UserRegistrationNegativeParameterizedTest","isRegistrationWithoutFieldFillingReturnsSuccessFalseAndExpectedStatusCodeAndExpectedErrorMessageTest[Тестовые данные: email: testEmail@mail.ru, password: , name: testName]","Негативный тест регистрации пользователя","При попытке зарегистрировать пользователя без заполнения всех обязательных полейвозвращается код 403, значение ключа <success> - <false>и сообщение об ошибке <message> - <Email, password and name are required fields>"
